"","loss_score","method","organism"
"1",20.3035751158455,"TAGM","Arabidopsis"
"2",21.5059990888391,"TAGM","Arabidopsis"
"3",23.8406403289068,"TAGM","Arabidopsis"
"4",22.7894980956967,"TAGM","Arabidopsis"
"5",20.0249348737517,"TAGM","Arabidopsis"
"6",23.5573052329869,"TAGM","Arabidopsis"
"7",25.145945811299,"TAGM","Arabidopsis"
"8",24.3812864724621,"TAGM","Arabidopsis"
"9",24.7337637628066,"TAGM","Arabidopsis"
"10",30.0727586629121,"TAGM","Arabidopsis"
"11",21.7721232894659,"MDI","Arabidopsis"
"12",24.8448115797623,"MDI","Arabidopsis"
"13",24.0767590096665,"MDI","Arabidopsis"
"14",22.1547113757017,"MDI","Arabidopsis"
"15",27.5981042791685,"MDI","Arabidopsis"
"16",18.0378652284024,"MDI","Arabidopsis"
"17",21.3265807521635,"MDI","Arabidopsis"
"18",27.5755779262784,"MDI","Arabidopsis"
"19",26.1970723941712,"MDI","Arabidopsis"
"20",31.6256538360232,"MDI","Arabidopsis"
"21",20.3398869662782,"TAGM","Drosophilia"
"22",18.3913106148033,"TAGM","Drosophilia"
"23",13.9486489488835,"TAGM","Drosophilia"
"24",11.9144545900489,"TAGM","Drosophilia"
"25",17.2400336439492,"TAGM","Drosophilia"
"26",17.2996742842211,"TAGM","Drosophilia"
"27",16.7144912196163,"TAGM","Drosophilia"
"28",14.1060860332927,"TAGM","Drosophilia"
"29",14.5876941890221,"TAGM","Drosophilia"
"30",14.5650769325328,"TAGM","Drosophilia"
"31",15.7510921856557,"MDI","Drosophilia"
"32",19.0487175212251,"MDI","Drosophilia"
"33",13.3998483091805,"MDI","Drosophilia"
"34",17.4922344359472,"MDI","Drosophilia"
"35",15.7809552630233,"MDI","Drosophilia"
"36",14.8019649794022,"MDI","Drosophilia"
"37",13.9904352435878,"MDI","Drosophilia"
"38",20.6965356495912,"MDI","Drosophilia"
"39",16.7752440154513,"MDI","Drosophilia"
"40",17.5062367500873,"MDI","Drosophilia"
"41",79.7618689245484,"TAGM","Mouse"
"42",66.4502144433666,"TAGM","Mouse"
"43",86.9084880642759,"TAGM","Mouse"
"44",55.2403500165411,"TAGM","Mouse"
"45",81.8423454888471,"TAGM","Mouse"
"46",68.0821071010659,"TAGM","Mouse"
"47",78.7050631925781,"TAGM","Mouse"
"48",76.2313683100621,"TAGM","Mouse"
"49",67.2555607912661,"TAGM","Mouse"
"50",64.359534036092,"TAGM","Mouse"
"51",79.1282251318259,"MDI","Mouse"
"52",67.8556318477735,"MDI","Mouse"
"53",62.7491373978578,"MDI","Mouse"
"54",75.3015450776934,"MDI","Mouse"
"55",66.9718644138464,"MDI","Mouse"
"56",71.6911537854228,"MDI","Mouse"
"57",55.183984741327,"MDI","Mouse"
"58",87.2564393230722,"MDI","Mouse"
"59",68.2678967328102,"MDI","Mouse"
"60",87.3873630715777,"MDI","Mouse"
